Start,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-8.0,-7.689335,-7.3786802,-7.0679257,-6.7577934,-6.451003999999999,-6.1545725000000004,-5.882329299999999,-5.641506699999999,-5.4338797,-5.2552815,-5.093178,-4.9409658,-4.796190999999999,-4.656642500000001,-4.5158176,-4.368793599999999,-4.2153730000000005,-4.055390399999999,-3.8887177000000004,-3.7153595,-3.5357200000000004,-3.3513222,-3.1670332,-3.0
-8.0,-7.698481999999999,-7.3978905,-7.0989344,-6.803109999999999,-6.513351699999999,-6.234721,-5.974099,-5.736099299999999,-5.5220583,-5.3297272,-5.1537613,-4.990004,-4.8362,-4.689688800000001,-4.5434484,-4.392125999999999,-4.235196,-4.072247999999999,-3.9029660000000006,-3.7271974,-3.5451970000000004,-3.3583067,-3.1711004000000003,-3.0
-8.0,-7.7072904,-7.416123499999999,-7.1276,-6.8433943,-6.566040299999999,-6.299041300000001,-6.046364,-5.810920799999999,-5.5937850000000005,-5.394019,-5.2092074,-5.0370084,-4.875868,-4.723229000000001,-4.5719294,-4.416410999999999,-4.2559467,-4.0899472999999995,-3.9179445000000004,-3.7396446,-3.5551568000000002,-3.3656417999999997,-3.1753670000000005,-3.0
-8.0,-7.7153246,-7.4325662,-7.1529534,-6.878082,-6.610019499999999,-6.3512535,-6.104337999999999,-5.871225999999999,-5.652833000000001,-5.4489393999999995,-5.258503,-5.0803233,-4.913507999999999,-4.7557784000000005,-4.600033,-4.440660599999999,-4.276837,-4.107863999999999,-3.9331595000000004,-3.7523148,-3.5653062,-3.3731176999999994,-3.1797128,-3.0
-8.0,-7.722389499999999,-7.446909499999999,-7.1747725,-6.9074116,-6.6465046999999995,-6.3939,-6.1513922999999995,-5.920403499999999,-5.701749,-5.495586,-5.3015827,-5.119231,-4.9481424,-4.786333600000001,-4.626836,-4.4640714,-4.2971893,-4.1254349999999995,-3.9481506000000004,-3.7648373,-3.5753570000000003,-3.3805281999999997,-3.1840200999999997,-3.0
-8.0,-7.728445,-7.459137,-7.1932066,-6.931912,-6.676635999999999,-6.428816000000001,-6.189813,-5.960742999999999,-5.742356600000001,-5.535010000000001,-5.3387592999999995,-5.1535255,-4.979273699999999,-4.8142700000000005,-4.6516933,-4.486033,-4.316455,-4.142182399999999,-3.9625130000000004,-3.7768784,-3.5850444,-3.3876799999999996,-3.1881774,-3.0
-8.0,-7.7335354999999995,-7.4693795,-7.2085583,-6.9521747,-6.7013886,-6.457369300000001,-6.2212155,-5.9938579999999995,-5.776003000000001,-5.568116000000001,-5.3704746,-5.1832634,-5.006697,-4.839232000000001,-4.674179,-4.5061065,-4.334213,-4.157723,-3.9759078000000003,-3.7881507,-3.5941374,-3.394403,-3.1920859999999998,-3.0
-8.0,-7.737742,-7.4778252,-7.2211726,-6.9687543,-6.721566999999999,-6.480599000000001,-6.2467793,-6.020924999999999,-5.8037103000000005,-5.595659,-5.39718,-5.208627300000001,-5.030381,-4.861044500000001,-4.6940349999999995,-4.5239917,-4.3501545,-4.171759,-3.9880645000000006,-3.7984178,-3.60244,-3.4005503999999998,-3.1956613000000003,-3.0
-8.0,-7.7411563,-7.4846711,-7.231377,-6.9821349999999995,-6.7378214,-6.4992986,-6.2673853,-6.042821999999999,-5.826258500000001,-5.618252300000001,-5.419292799999999,-5.229840000000001,-5.050388600000001,-4.879647,-4.7111143,-4.539495,-4.364063300000001,-4.184070999999999,-3.9987741000000003,-3.807493,-3.6097955,-3.4060039,-3.1988342000000003,-3.0
-8.0,-7.7438649999999996,-7.4900985,-7.2394564,-6.992717,-6.750666399999999,-6.514079000000001,-6.283697,-6.06021,-5.844249500000001,-5.636391700000001,-5.4371746,-5.247127600000001,-5.0668233,-4.895043000000001,-4.725350700000001,-4.552498399999999,-4.375793000000001,-4.194502,-4.0078809,-3.8152321000000002,-3.6160814,-3.4106703,-3.2015498000000004,-3.0
-8.0,-7.745941999999999,-7.4942589,-7.2456477,-7.0008216,-6.7605026,-6.525403000000001,-6.296213,-6.073586499999999,-5.858142600000001,-5.6504665,-5.4511259999999995,-5.260696000000001,-5.079800400000001,-4.907272400000001,-4.7367214,-4.5629364,-4.3852497,-4.2029434,-4.015273500000001,-3.8215294,-3.6212050000000002,-3.4144780999999997,-3.2037660000000003,-3.0
-8.0,-7.7474476999999995,-7.4972755,-7.250135,-7.0066953,-6.767631999999999,-6.533615600000001,-6.305301999999999,-6.083320699999999,-5.8682816,-5.660774000000001,-5.4613846,-5.2707167,-5.0894282,-4.916385300000001,-4.745229600000001,-4.570776599999999,-4.392377000000001,-4.209324,-4.020874,-3.8263097,-3.6250996000000004,-3.4173747,-3.2054524000000004,-3.0
